Fecha,Exportaciones  totales
01/01/1993,3491025
01/02/1993,3824112
01/03/1993,4454157
01/04/1993,4131085
01/05/1993,4125457
01/06/1993,4789999
01/07/1993,4151908
01/08/1993,4219402
01/09/1993,4446892
01/10/1993,4923708
01/11/1993,4649174
01/12/1993,4679050
01/01/1994,4089070
01/02/1994,4531315
01/03/1994,5155533
01/04/1994,4655097
01/05/1994,5096665
01/06/1994,5315984
01/07/1994,4757600
01/08/1994,5271435
01/09/1994,5035115
01/10/1994,5555650
01/11/1994,6108348
01/12/1994,5310387
01/01/1995,5932391
01/02/1995,6066195
01/03/1995,6788153
01/04/1995,5864530
01/05/1995,7027839
01/06/1995,6739092
01/07/1995,6048581
01/08/1995,7099164
01/09/1995,6939424
01/10/1995,7346393
01/11/1995,6909189
01/12/1995,6780603
01/01/1996,7142790
01/02/1996,7112474
01/03/1996,7615113
01/04/1996,7915540
01/05/1996,8075420
01/06/1996,7615922
01/07/1996,8003292
01/08/1996,7857667
01/09/1996,8386121
01/10/1996,9299120
01/11/1996,8467329
01/12/1996,8508952
01/01/1997,8181992
01/02/1997,8068267
01/03/1997,8848132
01/04/1997,9220360
01/05/1997,8835675
01/06/1997,9384390
01/07/1997,9361095
01/08/1997,8950302
01/09/1997,9864982
01/10/1997,10289043
01/11/1997,9559202
01/12/1997,9868058
01/01/1998,8547674
01/02/1998,8908950
01/03/1998,10649545
01/04/1998,9792844
01/05/1998,9772383
01/06/1998,10306289
01/07/1998,9126235
01/08/1998,9236794
01/09/1998,10223556
01/10/1998,10338716
01/11/1998,10266337
01/12/1998,10369971
01/01/1999,8663443
01/02/1999,9613236
01/03/1999,11663694
01/04/1999,10533432
01/05/1999,11068961
01/06/1999,12038721
01/07/1999,11050320
01/08/1999,12285014
01/09/1999,11957664
01/10/1999,12329161
01/11/1999,12994306
01/12/1999,12163864
01/01/2000,11252743
01/02/2000,13189566
01/03/2000,13575435
01/04/2000,12327403
01/05/2000,14654687
01/06/2000,14045054
01/07/2000,13411361
01/08/2000,15261802
01/09/2000,14110043
01/10/2000,16131582
01/11/2000,14525529
01/12/2000,13635532
01/01/2001,12853053
01/02/2001,12566162
01/03/2001,14311048
01/04/2001,13273001
01/05/2001,14051740
01/06/2001,13423356
01/07/2001,12947584
01/08/2001,13502467
01/09/2001,12679097
01/10/2001,14484934
01/11/2001,12511301
01/12/2001,12175990
01/01/2002,11579633
01/02/2002,11977242
01/03/2002,13120312
01/04/2002,14445063
01/05/2002,13911295
01/06/2002,13124146
01/07/2002,14066592
01/08/2002,13726998
01/09/2002,13573619
01/10/2002,14856076
01/11/2002,13230385
01/12/2002,13434619
01/01/2003,12613632
01/02/2003,12867156
01/03/2003,13570706
01/04/2003,13563240
01/05/2003,13153418
01/06/2003,13527896
01/07/2003,13740277
01/08/2003,13427713
01/09/2003,14375051
01/10/2003,15128019
01/11/2003,13760615
01/12/2003,15038713
01/01/2004,12710912
01/02/2004,13864283
01/03/2004,16617819
01/04/2004,14725798
01/05/2004,16154748
01/06/2004,16507297
01/07/2004,15016997
01/08/2004,16927796
01/09/2004,15929465
01/10/2004,16913202
01/11/2004,17075574
01/12/2004,15554664
01/01/2005,14125238
01/02/2005,15411666
01/03/2005,17357855
01/04/2005,17378788
01/05/2005,18280740
01/06/2005,18317507
01/07/2005,16376581
01/08/2005,19499370
01/09/2005,18307395
01/10/2005,19560110
01/11/2005,20224043
01/12/2005,19393663
01/01/2006,19206468
01/02/2006,18729262
01/03/2006,20916663
01/04/2006,19760576
01/05/2006,22710072
01/06/2006,21309067
01/07/2006,19825802
01/08/2006,22822775
01/09/2006,20491331
01/10/2006,23185780
01/11/2006,20854240
01/12/2006,20113108
01/01/2007,18999356
01/02/2007,19608830
01/03/2007,21660852
01/04/2007,21076640
01/05/2007,23813951
01/06/2007,22765180
01/07/2007,22634792
01/08/2007,24493338
01/09/2007,23141274
01/10/2007,26088928
01/11/2007,24331827
01/12/2007,23260344
01/01/2008,22232992
01/02/2008,22855904
01/03/2008,24995231
01/04/2008,27029673
01/05/2008,26001708
01/06/2008,26371487
01/07/2008,27548121
01/08/2008,25833029
01/09/2008,25085653
01/10/2008,24429426
01/11/2008,20275591
01/12/2008,18683780
01/01/2009,15081962
01/02/2009,16064787
01/03/2009,18518101
01/04/2009,17372169
01/05/2009,17238291
01/06/2009,19401741
01/07/2009,18016248
01/08/2009,19565549
01/09/2009,20939086
01/10/2009,22117619
01/11/2009,22364014
01/12/2009,23023983
01/01/2010,19189889
01/02/2010,21302600
01/03/2010,26104127
01/04/2010,24844517
01/05/2010,24796461
01/06/2010,25000453
01/07/2010,23334155
01/08/2010,26917226
01/09/2010,25338436
01/10/2010,26530071
01/11/2010,28169737
01/12/2010,26945474
01/01/2011,24674597
01/02/2011,25771475
01/03/2011,31355125
01/04/2011,27808164
01/05/2011,31079659
01/06/2011,30394790
01/07/2011,27848617
01/08/2011,31463992
01/09/2011,28774476
01/10/2011,30023464
01/11/2011,31051747
01/12/2011,29187280
01/01/2012,27281577
01/02/2012,30015345
01/03/2012,32312046
01/04/2012,30900421
01/05/2012,33135477
01/06/2012,30272703
01/07/2012,30294406
